Site,Trap,Lures,Canopy,UTM,GroundCover,TreeDens,NoTreeSp,Dominant,Dominant,AvgDiameter,NoStumps,VolDeadWood,VolDeadWood1,DaySurv1,DaySurv2,DaySurv3,DaySurv4,DaySurv5,DaySurv6,DaySurv7,DaySurv8,DaySurv9,DaySurv10,DaySurv11,DaySurv12,Julian1,Julian2,Julian3,Julian4,Julian5,Julian6,Julian7,Julian8,Julian9,Julian10,Julian11,Julian12,Precip1,Precip2,Precip3,Precip4,Precip5,Precip6,Precip7,Precip8,Precip9,Precip10,Precip11,Precip12,Pdet1,Pdet2,Pdet3,Pdet4,Pdet5,Pdet6,Pdet7,Pdet8,Pdet9,Pdet10,Pdet11,Pdet12,Ptest1,Ptest2,Ptest3,Ptest4,Ptest5,Ptest6,Ptest7,Ptest8,Ptest9,Ptest10,Ptest11,Ptest12
Eselnita,E11,All,0.55,0605490 4955066,0.35,16,6,Tilia cordata,Tilia,95,2,42643.3121,42643.3121,18-May,20-May-15,22-May-15,26-May-15,29-May-15,1-Jun-15,3-Jun-15,7-Jun-15,8-Jun-15,10-Jun-15,12-Jun-15,14-Jun-15,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0,0,5,1,4,0,2,3,17,3,5,2,13,4,1,6,8,0,3,4,3,1,2,0,0
Eselnita,E12,All,0.9,0606005 4955013,0.95,28,4,Tilia cordata,Tilia,81.25,4,69968.15287,69968.15287,18-May,20-May-15,22-May-15,26-May-15,29-May-15,1-Jun-15,3-Jun-15,7-Jun-15,8-Jun-15,10-Jun-15,12-Jun-15,14-Jun-15,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0,0,3,1,0,0,0,5,9,6,6,5,9,4,10,4,7,1,5,2,0,0,0,1,0
Eselnita,E13,All,0.75,0606028 4955092,0.5,20,3,Fagus sylvatica,Fagus,98,2,27101.91083,27101.91083,18-May,20-May-15,22-May-15,26-May-15,29-May-15,1-Jun-15,3-Jun-15,7-Jun-15,8-Jun-15,10-Jun-15,12-Jun-15,14-Jun-15,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0,0,0,0,0,0,3,2,2,0,5,3,0,1,0,2,5,0,1,0,6,0,0,0,0
Eselnita,E14,All,0.55,0605964 4955137,0.9,20,3,Tilia cordata,Tilia,93.23,2,63077.2293,63077.2293,18-May,20-May-15,22-May-15,26-May-15,29-May-15,1-Jun-15,3-Jun-15,7-Jun-15,8-Jun-15,10-Jun-15,12-Jun-15,14-Jun-15,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0,0,5,2,0,0,1,4,5,3,1,0,6,11,2,5,3,0,2,2,5,0,0,1,0
Eselnita,E15,All,0.5,0605984 4955200,0.95,24,2,Tilia cordata,Tilia,81.36,2,33228.50318,33228.50318,18-May,20-May-15,22-May-15,26-May-15,29-May-15,1-Jun-15,3-Jun-15,7-Jun-15,8-Jun-15,10-Jun-15,12-Jun-15,14-Jun-15,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0,0,3,1,1,0,3,3,26,1,3,13,8,11,12,26,16,3,5,7,6,3,0,4,0
Eselnita,E16,No Methyl Butanol,0.55,0605916 4955240,0.9,25,6,Tilia cordata,Tilia,68.53,2,65237.73885,65237.73885,18-May,20-May-15,22-May-15,26-May-15,29-May-15,1-Jun-15,3-Jun-15,7-Jun-15,8-Jun-15,10-Jun-15,12-Jun-15,14-Jun-15,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0,1,3,1,1,0,2,2,15,1,1,1,13,7,21,33,11,0,6,8,3,0,0,0,0
Eselnita,E17,All,0.75,0605895 4955319,0.75,32,3,Tilia cordata,Tilia,73,1,28391.71975,28391.71975,18-May,20-May-15,22-May-15,26-May-15,29-May-15,1-Jun-15,3-Jun-15,7-Jun-15,8-Jun-15,10-Jun-15,12-Jun-15,14-Jun-15,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0,1,2,0,0,0,1,0,2,1,5,8,3,3,3,15,12,0,10,3,1,1,2,0,0
Eselnita,E18,All,0.9,0606067 4954976,0.85,20,7,Tilia cordata,Tilia,77.78,0,155668.7898,155668.7898,18-May,20-May-15,22-May-15,26-May-15,29-May-15,1-Jun-15,3-Jun-15,7-Jun-15,8-Jun-15,10-Jun-15,12-Jun-15,14-Jun-15,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0,2,0,0,0,0,0,0,2,0,0,0,1,1,3,3,1,0,0,0,0,1,0,1,0
Eselnita,E19,All,0.6,0606051 4954881,0.8,21,3,Tilia cordata,Tilia,70.9,4,5228.503185,5228.503185,18-May,20-May-15,22-May-15,26-May-15,29-May-15,1-Jun-15,3-Jun-15,7-Jun-15,8-Jun-15,10-Jun-15,12-Jun-15,14-Jun-15,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0,0,4,0,0,0,2,2,7,0,4,4,4,2,3,5,0,0,6,3,2,0,2,1,0
Eselnita,E20,All,0.9,0606083 4954829,0.9,38,7,Tilia cordata,Tilia,69.21,4,50461.78344,50461.78344,18-May,20-May-15,22-May-15,26-May-15,29-May-15,1-Jun-15,3-Jun-15,7-Jun-15,8-Jun-15,10-Jun-15,12-Jun-15,14-Jun-15,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0,1,3,0,1,0,1,3,7,2,5,3,11,0,0,10,2,0,0,0,0,0,0,0,0
Eselnita,E21,All,0.55,0606051 4954756,0.4,39,7,Tilia cordata,Tilia,66.14,4,152292.9936,152292.9936,18-May,20-May-15,22-May-15,26-May-15,29-May-15,1-Jun-15,3-Jun-15,7-Jun-15,8-Jun-15,10-Jun-15,12-Jun-15,14-Jun-15,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0,0,1,0,0,0,0,3,6,2,8,4,3,2,6,3,1,0,4,2,4,0,1,2,0
Eselnita,E22,No Methyl Butanol,0.6,0606065 4954723,0.2,35,7,Tilia cordata,Tilia,71.66,4,16305.73248,16305.73248,18-May,20-May-15,22-May-15,26-May-15,29-May-15,1-Jun-15,3-Jun-15,7-Jun-15,8-Jun-15,10-Jun-15,12-Jun-15,14-Jun-15,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0,0,1,0,0,0,0,1,2,0,1,2,2,4,4,4,0,0,1,0,1,0,0,1,0
Eselnita,E23,All,0.65,0606002 4954731,0.25,29,6,Tilia cordata,Tilia,56.67,2,63630.57325,63630.57325,18-May,20-May-15,22-May-15,26-May-15,29-May-15,1-Jun-15,3-Jun-15,7-Jun-15,8-Jun-15,10-Jun-15,12-Jun-15,14-Jun-15,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0,2,2,1,0,0,0,1,7,0,4,5,4,2,3,1,1,0,1,1,3,0,0,0,0
Eselnita,E24,All,0.1,0605986 4954791,0.15,13,2,Quercus robur,Quercus,70,2,27866.24204,27866.24204,18-May,20-May-15,22-May-15,26-May-15,29-May-15,1-Jun-15,3-Jun-15,7-Jun-15,8-Jun-15,10-Jun-15,12-Jun-15,14-Jun-15,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0,3,7,3,3,0,0,1,8,1,3,1,2,2,0,13,7,5,0,2,0,0,0,1,0
Eselnita,E25,All,0.4,0605816 4954535,0.95,8,3,Fagus sylvatica,Fagus,130.38,3,83001.59236,83001.59236,18-May,20-May-15,22-May-15,26-May-15,29-May-15,1-Jun-15,3-Jun-15,7-Jun-15,8-Jun-15,10-Jun-15,12-Jun-15,14-Jun-15,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,4,2,0,0,1,2,0,0,1,0
Mala,M1,No Methyl Butanol,0.7,0605614 4949795,0.17,30,2,Quercus robur,Quercus,30,0,8789.808917,8789.808917,18-May,20-May-15,21-May-15,24-May-15,27-May-15,31-May-15,2-Jun-15,4-Jun-15,7-Jun-15,9-Jun-15,11-Jun-15,13-Jun-15,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0,0,0,0,0,0,1,0,1,1,0,4,1,2,2,1,6,0,2,5,4,0,0,1,0
Mala,M2,All,0.7,0605644 4949834,0.9,16,2,Juglans negra,Juglans,44,0,37579.61783,37579.61783,18-May,20-May-15,21-May-15,24-May-15,27-May-15,31-May-15,2-Jun-15,4-Jun-15,7-Jun-15,9-Jun-15,11-Jun-15,13-Jun-15,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0
Mala,M3,All,0.65,0605611 4949883,0.15,37,5,Carpinus orientalis,Carpinus,38.33,0,Debris and sticks (5%),0,18-May,20-May-15,21-May-15,24-May-15,27-May-15,31-May-15,2-Jun-15,4-Jun-15,7-Jun-15,9-Jun-15,11-Jun-15,13-Jun-15,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,2,0,3,1,1,0,1,1,1
Mala,M4,All,0.8,0605574 494960,0.05,32,4,UnID #4,UnID4,61.67,0,Debris and sticks (10%),0,18-May,20-May-15,21-May-15,24-May-15,27-May-15,31-May-15,2-Jun-15,4-Jun-15,7-Jun-15,9-Jun-15,11-Jun-15,13-Jun-15,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,2,0,3,6,1,0,2,2,0
Mala,M5,All,0.75,0605561 4949757,0.2,18,3,UnID #5,UnID5,67,2,0,0,18-May,20-May-15,21-May-15,24-May-15,27-May-15,31-May-15,2-Jun-15,4-Jun-15,7-Jun-15,9-Jun-15,11-Jun-15,13-Jun-15,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,8,10,1,4,10,1,2,3,0,4
Mala,M6,All,0.9,0605606 4949670,0.45,22,11,Quercus robur,Quercus,96,6,30095.5414,30095.5414,18-May,20-May-15,21-May-15,24-May-15,27-May-15,31-May-15,2-Jun-15,4-Jun-15,7-Jun-15,9-Jun-15,11-Jun-15,13-Jun-15,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,1,0,0,0,0,10,10,4,2,0,4,6,9,0,2,0,0
Mala,M7,All,0.35,0605644 4949614,0.9,49,8,Fraxinus pennsylvanica,Fraxinus,68.57,1,126878.9809,126878.9809,18-May,20-May-15,21-May-15,24-May-15,27-May-15,31-May-15,2-Jun-15,4-Jun-15,7-Jun-15,9-Jun-15,11-Jun-15,13-Jun-15,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0,0,2,0,2,0,0,0,1,1,0,0,0,2,2,1,3,0,4,5,5,0,0,0,0
Mala,M8,No Methyl Butanol,0.4,0605615 4949568,0.8,3,3,Quercus robur,Quercus,133.33,1,0,0,18-May,20-May-15,21-May-15,24-May-15,27-May-15,31-May-15,2-Jun-15,4-Jun-15,7-Jun-15,9-Jun-15,11-Jun-15,13-Jun-15,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,0,0,1,2,1,1,1,1
Mala,M9,All,0.35,0605631 4949500,0.5,12,4,Fraxinus pennsylvanica,Fraxinus,46.67,0,Branches (40%),0,18-May,20-May-15,21-May-15,24-May-15,27-May-15,31-May-15,2-Jun-15,4-Jun-15,7-Jun-15,9-Jun-15,11-Jun-15,13-Jun-15,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,2,1,0,2,0,1,0,0,0
Mala,M10,No Methyl Butanol,0.6,0605604 4949444,0.2,16,3,Fraxinus pennsylvanica,Fraxinus,68.33,1,2547.770701,2547.770701,18-May,20-May-15,21-May-15,24-May-15,27-May-15,31-May-15,2-Jun-15,4-Jun-15,7-Jun-15,9-Jun-15,11-Jun-15,13-Jun-15,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,2,4,0,1,0,0,0,0
Mala,M11,All,0.6,0605611 4949369,0.8,25,5,Tilia tomentosa,Tilia,73,0,Branches (35%),0,18-May,20-May-15,21-May-15,24-May-15,27-May-15,31-May-15,2-Jun-15,4-Jun-15,7-Jun-15,9-Jun-15,11-Jun-15,13-Jun-15,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,10,0,5,12,3,2,0,0,0
Mala,M12,All,0.65,0605641 4949350,0.95,39,4,Quercus robur,Quercus,74.167,0,7149.681529,7149.681529,18-May,20-May-15,21-May-15,24-May-15,27-May-15,31-May-15,2-Jun-15,4-Jun-15,7-Jun-15,9-Jun-15,11-Jun-15,13-Jun-15,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,2,2,3,2,0,0
Mala,M13,All,0.85,0605669 4949288,0.1,28,6,Carpinus orientalis,Carpinus,49,0,0,0,18-May,20-May-15,21-May-15,24-May-15,27-May-15,31-May-15,2-Jun-15,4-Jun-15,7-Jun-15,9-Jun-15,11-Jun-15,13-Jun-15,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,38,4,28,0,6,10,3,10,1,1,0
Mala,M14,All,0.55,0605680 4949264,0.45,16,6,Tilia tomentosa,Tilia,32.5,1,30334.3949,30334.3949,18-May,20-May-15,21-May-15,24-May-15,27-May-15,31-May-15,2-Jun-15,4-Jun-15,7-Jun-15,9-Jun-15,11-Jun-15,13-Jun-15,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,18,5,13,0,0,13,6,14,0,0,0
Mala,M15,All,0.55,0605700 4949215,0.15,16,5,UnID #5,UnID5,124,6,3566.878981,3566.878981,18-May,20-May-15,21-May-15,24-May-15,27-May-15,31-May-15,2-Jun-15,4-Jun-15,7-Jun-15,9-Jun-15,11-Jun-15,13-Jun-15,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,7,7,0,4,8,5,3,1,1,0
Mala,M16,All,0.7,0605658 4949140,0.4,29,2,Carpinus orientalis,Carpinus,80,0,17707.00637,17707.00637,18-May,20-May-15,21-May-15,24-May-15,27-May-15,31-May-15,2-Jun-15,4-Jun-15,7-Jun-15,9-Jun-15,11-Jun-15,13-Jun-15,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,1,1,1,3,5,1,0,0,0
Mala,M17,All,0.65,0605860 4949105,0.1,15,3,Carpinus orientalis,Carpinus,100,1,Debris and sticks (20%),0,18-May,20-May-15,21-May-15,24-May-15,27-May-15,31-May-15,2-Jun-15,4-Jun-15,7-Jun-15,9-Jun-15,11-Jun-15,13-Jun-15,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,3,0,0,4,7,2,0,0,0
Mala,M18,No Methyl Butanol,0.75,0605565 4949037,0.45,8,4,Quercus robur,Quercus,90,0,13471.33758,13471.33758,18-May,20-May-15,21-May-15,24-May-15,27-May-15,31-May-15,2-Jun-15,4-Jun-15,7-Jun-15,9-Jun-15,11-Jun-15,13-Jun-15,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,18,23,2,4,2,4,2,1,1,2
Mala,M19,All,0.75,0605563 4949986,0.75,21,2,Quercus robur,Quercus,110,2,116369.4268,116369.4268,18-May,20-May-15,21-May-15,24-May-15,27-May-15,31-May-15,2-Jun-15,4-Jun-15,7-Jun-15,9-Jun-15,11-Jun-15,13-Jun-15,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,0,0,2,1,2,0,0
Mala,M20,All,0.5,0605689 4949186,0.25,23,4,Quercus robur,Quercus,56.83,4,191.0828025,191.0828025,18-May,20-May-15,21-May-15,24-May-15,27-May-15,31-May-15,2-Jun-15,4-Jun-15,7-Jun-15,9-Jun-15,11-Jun-15,13-Jun-15,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0,0,0,0,0,0,1,0,0,1,1,0,0,4,17,2,1,0,1,1,0,3,4,0,1
Mala,M21,All,0.8,0605498 4949949,0.85,20,4,Quercus robur,Quercus,68.75,1,904.4585987,904.4585987,18-May,20-May-15,21-May-15,24-May-15,27-May-15,31-May-15,2-Jun-15,4-Jun-15,7-Jun-15,9-Jun-15,11-Jun-15,13-Jun-15,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,1,0,1,1,4,0,10,5,0,4,7,2,0,4,0,0
Mala,M22,No Methyl Butanol,0.8,0605436 4949945,0.9,13,5,Quercus robur,Quercus,68,3,46878.98089,46878.98089,18-May,20-May-15,21-May-15,24-May-15,27-May-15,31-May-15,2-Jun-15,4-Jun-15,7-Jun-15,9-Jun-15,11-Jun-15,13-Jun-15,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,1,0,0,0,2,0,1,0,0
Mala,M23,All,0.8,0605389 4949932,0.4,9,4,Fagus sylvatica,Fagus,100,0,34331.21019,34331.21019,18-May,20-May-15,21-May-15,24-May-15,27-May-15,31-May-15,2-Jun-15,4-Jun-15,7-Jun-15,9-Jun-15,11-Jun-15,13-Jun-15,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,1,1,0,0,8,0,2,0,0,6,1,0,1,0,0,0
Mala,M24,All,0.85,0605319 4949955,0.8,35,3,Quercus robur,Quercus,61.25,0,6990.44586,6990.44586,18-May,20-May-15,21-May-15,24-May-15,27-May-15,31-May-15,2-Jun-15,4-Jun-15,7-Jun-15,9-Jun-15,11-Jun-15,13-Jun-15,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,6,0,0
Mala,M25,All,0.8,No Coordinates GPS out of battery,0.05,20,4,Carpinus betula,Carpinus,88.5,0,62675.15924,62675.15924,18-May,20-May-15,21-May-15,24-May-15,27-May-15,31-May-15,2-Jun-15,4-Jun-15,7-Jun-15,9-Jun-15,11-Jun-15,13-Jun-15,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,1,0,0,9,6,12,5,0,1,5,1,3,1,1,0
