NoCrt,Pond name,LISE1,LISE2,LISE3,LISE4,Date1,Date2,Date3,Date4,Julian1,Julian2,Julian3,Julian4,Wind1,Wind2,Wind3,Wind4,Sky1,Sky2,Sky3,Sky4,Area,Lily,WatTemp,DO,Beaver,DistMFsampl,DistMFbreed,JulyTemp
21,Jenkins 1,0,1,0,0,6/29/2011,7/12/2011,7/27/2011,8/11/2011,179,192,207,222,0,0,0,0,0,1,0,2,23565,N,20.96,2.14,fresh,532,532,17.9
22,Keese Mill 1,0,0,0,0,6/28/2011,7/13/2011,7/27/2011,8/12/2011,178,193,207,223,0,0,0,0,2,2,0,1,1885.2,Y,15.8,2.73,none,496,114,18.1
23,KV 1,0,0,0,0,7/5/2011,7/19/2011,8/2/2011,8/17/2011,185,199,213,228,0,0,1,1,0,4,0,0,3770.4,N,20.1,5.91,fresh,4964,836,19.3
24,KV 2,0,0,1,0,7/5/2011,7/19/2011,8/2/2011,8/17/2011,185,199,213,228,0,0,1,1,0,4,0,0,6284,Y,18.9,1.88,fresh,5,5,19.3
25,KV 3,1,1,0,0,7/5/2011,7/19/2011,8/2/2011,8/17/2011,185,199,213,228,0,0,0,1,0,1,0,0,3142,Y,19.8,3.72,fresh,5,5,19.3
26,KV 4,1,1,0,0,7/5/2011,7/19/2011,8/2/2011,8/17/2011,185,199,213,228,0,0,0,1,0,1,0,0,9426,Y,19.4,0.41,none,5,5,19.3
27,Little Echo,0,0,0,0,7/2/2011,7/16/2011,7/30/2011,8/14/2011,182,196,210,225,0,0,0,0,0,0,0,2,30163.2,Y,15.3,0.57,none,92,92,18.1
28,Little Hedgehog,0,0,0,0,7/6/2011,7/19/2011,8/2/2011,8/16/2011,186,199,213,227,0,0,0,0,0,1,0,0,9897.3,Y,21.95,1.05,none,226,226,17.7
29,Little Hope,0,1,0,0,6/30/2011,7/15/2011,7/29/2011,8/13/2011,180,195,209,224,0,0,0,0,2,0,2,1,8122.07,Y,23.9,5.48,none,40,40,18.1
30,Little Jones,0,0,0,0,7/1/2011,7/14/2011,7/30/2011,8/13/2011,181,194,210,224,0,0,0,0,2,0,2,1,7540.8,Y,22.1,2.16,none,2275,830,17.9
31,Little Kushaqu,0,0,0,0,6/30/2011,7/15/2011,7/29/2011,8/13/2011,180,195,209,224,0,0,1,0,2,0,1,1,1885.2,Y,20,3.98,none,606,10,18
32,Little Long Pond,1,0,0,0,6/29/2011,7/12/2011,7/27/2011,8/11/2011,179,192,207,222,0,0,0,0,0,5,0,2,25136,N,20.96,2.02,none,532,532,17.9
33,Little Minnow,1,1,1,0,7/6/2011,7/18/2011,8/3/2011,8/16/2011,186,198,214,227,0,0,0,0,1,2,0,1,3770.4,N,20.77,1.51,none,53,53,17.2
34,Little Mountain Pond,0,0,0,0,6/30/2011,7/15/2011,7/29/2011,8/13/2011,180,195,209,224,1,0,0,0,2,0,2,2,2513.6,N,18.91,1.44,old,2677,119,17.9
35,Little Mud,0,0,0,0,6/30/2011,7/14/2011,7/29/2011,8/13/2011,180,194,209,224,0,0,2,0,2,0,0,1,15395.8,Y,23.6,3.66,old,606,138,18.1
36,Little Osgood,0,0,0,0,7/1/2011,7/14/2011,7/30/2011,8/13/2011,181,194,210,224,0,0,0,0,2,0,0,1,26392.8,Y,23.9,3.29,none,950,43,18
37,Little Panther,1,1,1,0,7/2/2011,7/15/2011,7/30/2011,8/14/2011,182,195,210,225,0,0,0,2,0,0,0,2,141547.1,Y,20.3,0.47,none,1208,378,18
38,Little Rainbow,1,1,1,0,6/30/2011,7/13/2011,7/28/2011,8/12/2011,180,193,208,223,3,0,0,0,2,0,0,0,159456.5,Y,21.83,1.32,none,12,12,17.9
40,Little Sunday,0,0,0,0,7/1/2011,7/16/2011,7/30/2011,8/15/2011,181,196,210,226,0,0,0,0,1,0,0,2,4713,Y,16.4,4.4,none,260,114,18
42,Meachum 1,0,0,0,1,6/30/2011,7/14/2011,7/29/2011,8/13/2011,180,194,209,224,0,0,0,0,2,0,2,1,942.6,N,15.2,1.23,fresh,552,552,18.4
43,Meachum 2,1,1,1,1,6/30/2011,7/14/2011,7/29/2011,8/13/2011,180,194,209,224,1,0,1,0,2,0,2,1,37704,Y,22.15,1.06,none,1855,58,18.3
45,Mineville 1,1,1,1,0,7/2/2011,7/17/2011,8/1/2011,8/16/2011,182,197,212,227,0,0,0,0,1,0,0,5,14139,Y,18.8,2.21,none,1103,102,19
46,Mineville 2,1,1,1,0,7/3/2011,7/16/2011,8/1/2011,8/15/2011,183,196,212,226,1,0,0,0,0,0,0,5,3142,N,17.2,5.55,fresh,2448,1022,18.8
47,Minnow Pond,1,1,1,1,7/6/2011,7/18/2011,8/3/2011,8/16/2011,186,198,214,227,0,0,0,0,1,2,0,1,98633.664,Y,20.86,1.33,fresh,53,53,17.2
48,New MF 1,0,0,0,0,6/30/2011,7/13/2011,7/28/2011,8/12/2011,180,193,208,223,3,0,0,0,2,0,1,0,5655.6,N,19.2,1.26,none,658,66,18
49,New MF 2,0,1,1,1,6/29/2011,7/14/2011,7/28/2011,8/12/2011,179,194,208,223,3,0,0,0,2,0,2,0,40846,Y,23.5,0.75,none,257,257,18
50,Newport Pond,0,0,0,0,7/2/2011,7/17/2011,8/1/2011,8/15/2011,182,197,212,226,3,0,0,0,1,0,0,5,75219.48,Y,20.9,8.47,none,1103,244,19
51,Onchiota 1,0,1,1,0,6/30/2011,7/15/2011,7/29/2011,8/13/2011,180,195,209,224,1,0,0,0,2,0,2,1,942.6,N,17.3,6.62,old,2784,662,18.1
52,Oxbow 1,1,1,0,0,7/1/2011,7/15/2011,7/30/2011,8/14/2011,181,195,210,225,0,0,0,0,0,0,0,2,1508.16,Y,22.88,1.25,none,219,219,19.3
54,Panther Pond,1,1,1,1,7/2/2011,7/15/2011,7/31/2011,8/14/2011,182,195,211,225,0,0,0,1,0,0,0,2,152198.48,N,23.6,6.17,none,1208,1208,17.8
55,Raybrook,1,1,1,0,7/2/2011,7/16/2011,8/1/2011,8/15/2011,182,196,212,226,0,0,0,0,1,0,0,5,5655.6,N,12.85,2.7,none,5,5,18.1
56,Roe Pond,0,0,0,0,7/3/2011,7/16/2011,8/2/2011,8/15/2011,183,196,213,226,3,2,1,0,1,0,0,5,12725.1,Y,17.7,7.45,none,2695,1065,19
57,Smitty Creek 1,0,0,0,0,6/29/2011,7/12/2011,7/27/2011,8/11/2011,179,192,207,222,1,0,0,0,0,2,0,2,2513.6,N,18.3,5.47,old,5,5,17.9
58,Smitty Creek 2,0,1,1,0,6/29/2011,7/12/2011,7/27/2011,8/11/2011,179,192,207,222,1,0,0,1,0,1,0,2,12568,N,19.6,2.91,old,5,5,17.9
59,Smitty Creek 3,0,0,0,0,6/29/2011,7/12/2011,7/27/2011,8/11/2011,179,192,207,222,2,0,0,1,0,2,0,2,3142,N,19.1,3.79,fresh,5,5,17.9
60,Smitty Creek 4,0,0,0,0,6/29/2011,7/12/2011,7/27/2011,8/11/2011,179,192,207,222,1,0,0,0,0,1,0,2,1256.8,N,17.6,1.97,fresh,5,5,17.9
61,South Minnow,1,1,1,0,7/6/2011,7/18/2011,8/3/2011,8/16/2011,186,198,214,227,0,0,0,0,1,2,0,1,16338.4,N,21.55,1.65,fresh,720,498,17.2
62,St Regis 1,0,0,0,0,6/30/2011,7/13/2011,7/28/2011,8/12/2011,180,193,208,223,1,0,0,0,3,1,0,0,9426,N,19.1,2.1,fresh,1148,1148,17.9
63,Tiny Hope,0,1,0,0,6/30/2011,7/15/2011,7/29/2011,8/13/2011,180,195,209,224,0,0,0,0,2,0,1,1,10997,Y,21.6,2.22,none,40,40,18.1
64,Tupper 1,1,1,0,0,7/5/2011,7/19/2011,8/2/2011,8/17/2011,185,199,213,228,0,0,0,0,0,2,0,0,17595.2,Y,22.2,1.42,none,641,111,17.9
65,Turtle Pond,0,0,0,0,7/2/2011,7/16/2011,8/1/2011,8/16/2011,182,196,212,227,0,0,0,0,1,0,0,5,114525.9,Y,22.16,1.22,none,1641,516,18
66,unk 1,0,1,1,1,6/28/2011,7/13/2011,7/27/2011,8/12/2011,178,193,207,223,2,0,0,0,1,1,0,2,30772.748,Y,19.97,1.8,none,556,158,18
67,unk 4,0,1,1,0,6/28/2011,7/13/2011,7/27/2011,8/11/2011,178,193,207,222,2,0,0,0,1,2,0,2,6284,Y,16.8,2.58,none,632,11,17.9
68,unk 5,0,1,0,0,6/28/2011,7/13/2011,7/27/2011,8/12/2011,178,193,207,223,1,0,0,2,1,5,0,1,66359.04,Y,20.8,4.18,fresh,632,153,17.9
69,unk 6,0,0,0,0,6/28/2011,7/13/2011,7/27/2011,8/12/2011,178,193,207,223,0,0,0,3,3,5,0,1,9426,Y,21.4,5.16,none,808,108,18.1
70,unk 7,1,0,1,1,6/30/2011,7/14/2011,7/28/2011,8/12/2011,180,194,208,223,1,0,0,0,1,0,1,0,143429.158,Y,21.9,4.75,fresh,930,283,17.9
71,unk 9,1,0,1,0,6/30/2011,7/13/2011,7/28/2011,8/12/2011,180,193,208,223,3,0,0,0,2,2,0,0,18789.16,Y,21.24,1.13,none,12,12,17.9
72,Upper Cat,1,1,1,1,7/6/2011,7/18/2011,8/3/2011,8/16/2011,186,198,214,227,0,0,0,0,1,1,0,1,146530.312,Y,22.55,1.44,none,130,130,17.1
73,Upper Tupper,1,1,0,0,7/5/2011,7/19/2011,8/2/2011,8/17/2011,185,199,213,228,0,0,0,0,0,2,0,0,101700.256,Y,16.06,0.7,none,641,52,17.9
